SiteName,MonitorDate,Concentration,ItemUnit
斗六,2018-05-08,8,μg/m3
南投,2018-05-08,8,μg/m3
二林,2018-05-08,8,μg/m3
彰化,2018-05-08,8,μg/m3
忠明,2018-05-08,8,μg/m3
豐原,2018-05-08,7,μg/m3
三義,2018-05-08,6,μg/m3
苗栗,2018-05-08,7,μg/m3
新竹,2018-05-08,7,μg/m3
竹東,2018-05-08,,μg/m3
平鎮,2018-05-08,7,μg/m3
桃園,2018-05-08,7,μg/m3
大同,2018-05-08,9,μg/m3
萬華,2018-05-08,8,μg/m3
士林,2018-05-08,7,μg/m3
板橋,2018-05-08,8,μg/m3
汐止,2018-05-08,8,μg/m3
基隆,2018-05-08,8,μg/m3
馬公,2018-05-05,21,μg/m3
金門,2018-05-05,21,μg/m3
馬祖,2018-05-05,16,μg/m3
埔里,2018-05-05,18,μg/m3
宜蘭,2018-05-05,10,μg/m3
陽明,2018-05-05,16,μg/m3
花蓮,2018-05-05,10,μg/m3
臺東,2018-05-05,8,μg/m3
恆春,2018-05-05,8,μg/m3
屏東,2018-05-05,17,μg/m3
前金,2018-05-05,18,μg/m3
左營,2018-05-05,19,μg/m3
林園,2018-05-05,16,μg/m3
美濃,2018-05-05,19,μg/m3
臺南,2018-05-05,16,μg/m3
新營,2018-05-05,18,μg/m3
嘉義,2018-05-05,20,μg/m3
臺西,2018-05-05,17,μg/m3
朴子,2018-05-05,18,μg/m3
斗六,2018-05-05,22,μg/m3
南投,2018-05-05,22,μg/m3
二林,2018-05-05,22,μg/m3
彰化,2018-05-05,19,μg/m3
忠明,2018-05-05,20,μg/m3
豐原,2018-05-05,19,μg/m3
三義,2018-05-05,19,μg/m3
苗栗,2018-05-05,20,μg/m3
新竹,2018-05-05,19,μg/m3
竹東,2018-05-05,21,μg/m3
平鎮,2018-05-05,22,μg/m3
桃園,2018-05-05,24,μg/m3
大同,2018-05-05,,μg/m3
萬華,2018-05-05,16,μg/m3
士林,2018-05-05,16,μg/m3
板橋,2018-05-05,17,μg/m3
汐止,2018-05-05,12,μg/m3
基隆,2018-05-05,10,μg/m3
馬公,2018-05-02,7,μg/m3
金門,2018-05-02,20,μg/m3
馬祖,2018-05-02,18,μg/m3
宜蘭,2018-05-02,16,μg/m3
陽明,2018-05-02,17,μg/m3
花蓮,2018-05-02,8,μg/m3
臺東,2018-05-02,7,μg/m3
恆春,2018-05-02,7,μg/m3
屏東,2018-05-02,13,μg/m3
前金,2018-05-02,10,μg/m3
美濃,2018-05-02,11,μg/m3
臺南,2018-05-02,10,μg/m3
新營,2018-05-02,11,μg/m3
嘉義,2018-05-02,11,μg/m3
朴子,2018-05-02,11,μg/m3
斗六,2018-05-02,14,μg/m3
南投,2018-05-02,16,μg/m3
彰化,2018-05-02,13,μg/m3
忠明,2018-05-02,14,μg/m3
豐原,2018-05-02,17,μg/m3
三義,2018-05-02,15,μg/m3
苗栗,2018-05-02,13,μg/m3
新竹,2018-05-02,14,μg/m3
竹東,2018-05-02,15,μg/m3
平鎮,2018-05-02,15,μg/m3
桃園,2018-05-02,17,μg/m3
萬華,2018-05-02,21,μg/m3
士林,2018-05-02,19,μg/m3
板橋,2018-05-02,22,μg/m3
汐止,2018-05-02,22,μg/m3
基隆,2018-05-02,20,μg/m3
馬公,2018-04-29,33,μg/m3
金門,2018-04-29,46,μg/m3
馬祖,2018-04-29,56,μg/m3
宜蘭,2018-04-29,16,μg/m3
陽明,2018-04-29,26,μg/m3
花蓮,2018-04-29,12,μg/m3
臺東,2018-04-29,13,μg/m3
恆春,2018-04-29,14,μg/m3
屏東,2018-04-29,28,μg/m3
前金,2018-04-29,23,μg/m3
美濃,2018-04-29,23,μg/m3
臺南,2018-04-29,20,μg/m3
新營,2018-04-29,28,μg/m3
嘉義,2018-04-29,,μg/m3
朴子,2018-04-29,28,μg/m3
斗六,2018-04-29,42,μg/m3
南投,2018-04-29,45,μg/m3
彰化,2018-04-29,45,μg/m3
忠明,2018-04-29,39,μg/m3
豐原,2018-04-29,43,μg/m3
三義,2018-04-29,42,μg/m3
苗栗,2018-04-29,41,μg/m3
新竹,2018-04-29,34,μg/m3
竹東,2018-04-29,34,μg/m3
平鎮,2018-04-29,39,μg/m3
桃園,2018-04-29,,μg/m3
萬華,2018-04-29,32,μg/m3
士林,2018-04-29,30,μg/m3
板橋,2018-04-29,32,μg/m3
汐止,2018-04-29,34,μg/m3
基隆,2018-04-29,28,μg/m3
馬公,2018-04-26,21,μg/m3
金門,2018-04-26,31,μg/m3
馬祖,2018-04-26,38,μg/m3
宜蘭,2018-04-26,18,μg/m3
陽明,2018-04-26,17,μg/m3
花蓮,2018-04-26,22,μg/m3
臺東,2018-04-26,16,μg/m3
恆春,2018-04-26,9,μg/m3
屏東,2018-04-26,27,μg/m3
前金,2018-04-26,19,μg/m3
美濃,2018-04-26,31,μg/m3
臺南,2018-04-26,34,μg/m3
新營,2018-04-26,33,μg/m3
嘉義,2018-04-26,43,μg/m3
朴子,2018-04-26,28,μg/m3
斗六,2018-04-26,44,μg/m3
